close_time,open,high,low,close,volume,quote_volume,trades,taker_volume,taker_quote_volume
2019-01-01 00:59:59,3701.23,3713.0,3689.88,3700.31,686.36742,2539069.22918493,5534.0,370.855314,1371962.40437473
2019-01-01 01:59:59,3700.2,3702.73,3684.22,3689.69,613.539115,2266699.82001748,5086.0,320.644448,1184518.68168707
2019-01-01 02:59:59,3689.67,3695.95,3675.04,3690.0,895.302181,3302044.30002383,6391.0,471.85711799999996,1740469.33850571
2019-01-01 03:59:59,3690.0,3699.77,3685.78,3693.13,796.7148179999999,2942421.71944333,5709.0,459.948381,1698856.96609518
2019-01-01 04:59:59,3692.32,3720.0,3685.94,3692.71,1317.452909,4872936.74721534,7908.0,770.995533,2852106.12513687
2019-01-01 05:59:59,3693.98,3704.44,3692.73,3699.94,572.402228,2117704.50427743,3886.0,326.520975,1208150.46692599
2019-01-01 06:59:59,3699.95,3713.93,3697.0,3703.56,660.279771,2446400.84113162,4839.0,384.509915,1424666.66528094
2019-01-01 07:59:59,3703.63,3726.64,3703.34,3713.83,823.625491,3057514.26530647,5335.0,424.73922000000005,1577036.53083196
2019-01-01 08:59:59,3714.19,3731.19,3707.0,3716.7,887.1013619999999,3300499.52741762,6190.0,468.47321100000005,1742964.48848143
2019-01-01 09:59:59,3716.98,3732.0,3696.14,3699.95,955.8790339999999,3545473.52265626,5670.0,510.885391,1895818.2952015
2019-01-01 10:59:59,3699.96,3717.11,3698.0,3713.07,534.1139450000001,1981238.27916797,4008.0,290.434437,1077294.14824291
2019-01-01 11:59:59,3713.07,3722.22,3706.88,3707.54,600.664642,2231596.68743807,4838.0,305.09857900000003,1133571.72219358
2019-01-01 12:59:59,3707.56,3725.0,3698.25,3717.0,654.27771,2428995.4610854997,4802.0,352.182187,1307746.3740325
2019-01-01 13:59:59,3717.0,3756.94,3708.41,3715.93,941.7856949999999,3506657.91049441,5975.0,568.85731,2119100.47755112
2019-01-01 14:59:59,3715.23,3717.0,3684.21,3698.53,1127.366632,4174145.84090643,6899.0,546.537425,2024161.8425137
2019-01-01 15:59:59,3698.28,3698.87,3666.01,3682.61,996.688532,3670749.82060275,6788.0,500.265135,1842402.08770963
2019-01-01 16:59:59,3683.0,3696.23,3677.48,3693.54,629.1802799999999,2320803.1590822004,4600.0,327.562834,1208303.2092801
2019-01-01 17:59:59,3693.5,3701.68,3675.01,3686.32,380.215487,1403206.21528002,4207.0,199.429914,736085.61871057
2019-01-01 18:59:59,3686.34,3686.35,3642.0,3659.41,1083.207096,3966667.5051873,7211.0,524.277785,1920151.8670772999
2019-01-01 19:59:59,3659.56,3699.99,3659.56,3696.73,1155.5131119999999,4247300.53490663,6923.0,738.862592,2715296.97606765
2019-01-01 20:59:59,3696.71,3726.93,3675.67,3719.0,2021.170948,7499086.50823139,11604.0,1132.452741,4202782.04233233
2019-01-01 21:59:59,3719.0,3730.01,3700.0,3708.21,1105.501735,4107122.15187526,7130.0,589.372813,2190145.11147162
2019-01-01 22:59:59,3707.98,3717.07,3692.42,3711.2,624.620136,2316083.74706079,5721.0,320.426107,1188213.35746098
2019-01-01 23:59:59,3712.85,3810.16,3706.43,3797.14,3678.716754,13904830.79431158,16973.0,2013.966534,7611631.06969263
2019-01-02 00:59:59,3796.45,3810.0,3763.75,3778.02,2094.025159,7927726.29243582,10665.0,1108.378408,4197072.30757583
2019-01-02 01:59:59,3778.62,3792.0,3765.75,3770.0,912.8111130000001,3450021.65237429,6210.0,402.31872400000003,1520610.20983331
2019-01-02 02:59:59,3769.98,3785.1,3768.0,3783.28,719.302757,2716784.18945001,5401.0,277.573136,1048522.23925004
2019-01-02 03:59:59,3783.28,3796.22,3773.79,3779.98,770.368067,2915832.26662619,5710.0,365.28072599999996,1382915.97534947
2019-01-02 04:59:59,3780.0,3788.31,3765.0,3776.41,748.260209,2825638.32453794,5835.0,337.312869,1273981.86081663
